3083	31/12/2012	37 48 65 69 75	
3082	29/12/2012	01 04 19 53 57	
3081	28/12/2012	33 36 39 44 62	
3080	27/12/2012	39 42 54 56 57	
3079	26/12/2012	11 18 32 51 56	
3078	24/12/2012	21 40 43 53 59	
3077	22/12/2012	04 56 67 74 77	
3076	21/12/2012	08 33 40 54 73	
3075	20/12/2012	07 21 42 49 57	
3074	19/12/2012	01 25 29 61 62	
3073	18/12/2012	10 23 48 63 74	
3072	17/12/2012	07 08 20 26 66	
3071	15/12/2012	06 13 19 20 72	
3070	14/12/2012	11 45 62 67 77	
3069	13/12/2012	01 10 34 49 76	
3068	12/12/2012	07 27 45 53 56	
3067	11/12/2012	11 38 48 51 55	
3066	10/12/2012	24 32 42 53 73	
3065	08/12/2012	03 09 40 60 61	
3064	07/12/2012	15 43 56 63 79	
3063	06/12/2012	08 20 32 42 68	
3062	05/12/2012	28 30 44 57 70	
3061	04/12/2012	27 51 54 63 74	
3060	03/12/2012	12 16 45 61 65	
3059	01/12/2012	13 26 40 67 69	
3058	30/11/2012	10 18 24 69 80	
3057	29/11/2012	04 33 58 61 76	
3056	28/11/2012	16 37 60 63 64	
3055	27/11/2012	07 13 15 17 48	
3054	26/11/2012	18 50 55 65 77	
3053	24/11/2012	04 09 47 51 58	
3052	23/11/2012	06 24 65 66 78	
3051	22/11/2012	13 33 46 51 70	
3050	21/11/2012	04 51 58 69 77	
3049	20/11/2012	15 32 45 69 72	
3048	19/11/2012	26 27 40 43 52	
3047	17/11/2012	21 40 63 72 74	
3046	16/11/2012	05 53 55 57 63	
3045	14/11/2012	19 26 42 43 50	
3044	13/11/2012	01 11 53 57 79	
3043	12/11/2012	12 17 37 45 64	
3042	10/11/2012	02 09 47 68 70	
3041	09/11/2012	27 29 39 47 66	
3040	08/11/2012	08 61 62 64 65	
3039	07/11/2012	07 16 38 54 56	
3038	06/11/2012	20 59 62 67 71	
3037	05/11/2012	05 22 28 64 80	
3036	03/11/2012	12 18 31 35 45	
3035	01/11/2012	13 34 46 51 77	
3034	31/10/2012	12 20 47 71 74	
3033	30/10/2012	28 61 70 74 77	
3032	29/10/2012	15 17 41 50 72	
3031	27/10/2012	07 12 15 43 58	
3030	26/10/2012	25 39 52 64 79	
3029	25/10/2012	02 39 44 48 60	
3028	24/10/2012	09 24 31 39 78	
3027	23/10/2012	06 22 40 57 63	
3026	22/10/2012	06 42 51 52 80	
3025	20/10/2012	02 17 30 45 70	
3024	19/10/2012	15 16 30 38 79	
3023	18/10/2012	04 38 44 76 78	
3022	17/10/2012	35 40 54 66 71	
3021	16/10/2012	32 38 60 71 80	
3020	15/10/2012	12 27 49 59 79	
3019	13/10/2012	01 12 23 46 51	
3018	11/10/2012	21 50 51 61 73	
3017	10/10/2012	45 46 48 53 59	
3016	09/10/2012	20 34 36 53 62	
3015	08/10/2012	03 61 63 69 70	
3014	06/10/2012	19 33 53 61 63	
3013	05/10/2012	58 71 73 74 77	
3012	04/10/2012	28 36 42 45 49	
3011	03/10/2012	01 05 36 64 79	
3010	02/10/2012	09 11 22 35 52	
3009	01/10/2012	07 12 40 49 65	
3008	29/09/2012	15 50 76 77 79	
3007	28/09/2012	09 51 54 58 69	
