3783	09/05/15	13 39 40 50 66
3782	08/05/15	06 20 24 42 57
3781	07/05/15	45 47 49 74 80
3780	06/05/15	01 07 15 22 71
3779	05/05/15	21 30 31 43 54
3778	04/05/15	02 05 32 49 60
3777	02/05/15	05 18 19 31 45
3776	30/04/15	42 61 64 67 79
3775	29/04/15	14 29 44 45 47
3774	28/04/15	01 20 56 71 79
3773	27/04/15	31 50 59 70 74
3772	25/04/15	04 07 16 19 62
3771	24/04/15	12 16 30 55 68
3770	23/04/15	06 13 15 22 32
3769	22/04/15	36 52 58 67 76
3768	20/04/15	15 16 28 55 67
3767	18/04/15	17 21 28 34 63
3766	17/04/15	02 08 27 33 55
3765	16/04/15	11 38 39 58 68
3764	15/04/15	04 33 50 54 80
3763	14/04/15	04 08 23 60 71
3762	13/04/15	26 48 56 63 69
3761	11/04/15	06 09 29 46 48
3760	10/04/15	09 38 69 71 73
3759	09/04/15	03 23 34 45 53
3758	08/04/15	08 27 28 60 71
3757	07/04/15	27 30 48 57 67
3756	06/04/15	02 27 54 56 63
3755	04/04/15	16 41 63 68 78
3754	02/04/15	02 16 21 65 79
3753	01/04/15	01 14 15 22 36
3752	31/03/15	14 15 27 29 67
3751	30/03/15	43 50 65 66 68
3750	28/03/15	20 30 42 64 74
3749	27/03/15	16 20 29 33 47
3748	26/03/15	04 14 24 37 78
3747	25/03/15	06 08 14 20 58
3746	24/03/15	57 62 65 73 80
3745	23/03/15	02 12 67 75 78
3744	21/03/15	21 44 50 66 80
3743	20/03/15	07 16 32 68 78
3742	19/03/15	02 03 15 45 75
3741	18/03/15	19 23 72 79 80
3740	17/03/15	17 45 52 73 77
3739	16/03/15	28 45 56 63 68
3738	14/03/15	05 29 55 62 68
3737	13/03/15	04 20 35 50 52
3736	12/03/15	07 22 24 39 58
3735	11/03/15	17 29 44 71 75
3734	10/03/15	08 09 33 39 45
3733	09/03/15	20 24 39 45 77
3732	07/03/15	05 13 19 34 50
3731	06/03/15	33 41 43 75 79
3730	05/03/15	17 18 26 46 59
3729	04/03/15	03 15 16 19 72
3728	03/03/15	06 32 54 71 78
3727	02/03/15	08 31 37 45 71
3726	28/02/15	12 50 59 73 80
3725	27/02/15	33 40 56 70 74
3724	26/02/15	04 32 46 54 66
3723	25/02/15	23 39 44 52 69
3722	24/02/15	08 32 42 64 73
3721	23/02/15	17 39 44 49 57
3720	21/02/15	23 31 33 34 40
3719	20/02/15	04 20 21 55 56
3718	19/02/15	07 30 36 50 66
3717	18/02/15	30 37 38 52 55
3716	14/02/15	18 34 65 66 80
3715	13/02/15	26 28 31 33 62
3714	12/02/15	19 23 26 53 56
3713	11/02/15	21 39 41 49 54
3712	10/02/15	01 19 26 60 61
3711	09/02/15	18 32 55 64 73
3710	07/02/15	10 18 55 58 80
3709	06/02/15	06 11 25 35 74
3708	05/02/15	18 21 47 48 62
3707	04/02/15	05 19 34 70 72
3706	03/02/15	08 09 11 43 73
3705	02/02/15	22 27 49 52 63
3704	31/01/15	15 38 40 57 62
3703	30/01/15	09 12 16 43 67
3702	29/01/15	36 42 52 62 74
3701	28/01/15	09 15 35 40 78
3700	27/01/15	05 26 29 44 59
3699	26/01/15	10 14 52 74 75
3698	24/01/15	19 20 33 58 77
3697	23/01/15	06 49 53 66 67
3696	22/01/15	18 20 31 34 37
3695	21/01/15	11 32 47 67 76
3694	20/01/15	01 26 42 45 72
3693	19/01/15	25 31 63 67 70
3692	17/01/15	02 08 09 26 78
3691	16/01/15	06 11 19 53 72
3690	15/01/15	28 35 63 64 67
3689	14/01/15	10 36 44 52 72
3688	13/01/15	08 09 29 66 79
3687	12/01/15	33 50 59 60 78
3686	10/01/15	23 40 45 59 74
3685	09/01/15	17 19 35 53 76
3684	08/01/15	06 18 32 48 69
3683	07/01/15	26 28 31 43 76
3682	06/01/15	13 18 39 60 68
3681	05/01/15	10 14 15 29 31
3680	03/01/15	07 31 59 60 79
3679	02/01/15	11 16 23 56 61
